calID,spnumber,taxstat,family,species,star,horim_page,horim_end,star_geo,star_geod,star_geou,star_infa,star_infs,quartergrid,1grid,horimgrid,mgr_ocan,mgr_mainisl,mgr_smallisl,mgr_totalland,mgr_totalarea,qgr_mainisl,qgr_smallisl,qgr_totalland,1gr_mainisl,1gr_smallisl,1gr_totalland,infra
29904,29904,acc,Palmaceae,Arenga engleri Becc.,BKx,420,,BKx,BKx,BKx,BKx,BKx,22,13,55,22057.05754,0,3307.353782,3307.353782,25364.41132,0,3529.660198,3529.660198,0,3557.195388,3557.195388,
29910,29910,acc,Smilacaceae,Heterosmilax japonica Kunth,GN,432,,GN,GN,GN,GN,GN,23,15,46,17514.21734,649.7936467,2849.690742,3499.484388,21013.70173,2270.954153,3465.006093,5735.960246,5609.900421,3559.49087,9169.391291,
29912,29912,acc,Convallariaceae,Ophiopogon jaburan (Siebold) Lodd.,BU,433,,BU,BU,BU,BU,BU,70,37,134,42521.03194,11385.75202,4714.932877,16100.6849,58621.71684,37658.3326,7799.135751,45457.46835,74873.09219,8022.282641,82895.37483,
29918,29918,acc,Smilacaceae,Smilax bracteata C. Presl,GN,435,,GN,GN,GN,GN,GN,42,22,91,30938.34462,4990.167288,4779.674917,9769.842205,40708.18682,9924.901554,6245.818412,16170.71997,16922.6214,6657.994447,23580.61585,
29924,29924,acc,Phormiaceae,Dianella ensifolia (L.) DC.,GN,430,,GN,GN,GN,GN,GN,49,30,111,39915.28994,4644.70287,5272.165801,9916.868671,49832.15861,16070.82568,6648.575688,22719.40137,45382.6881,7370.704926,52753.39303,
29975,29975,acc,Smilacaceae,Smilax nervomarginata Hayata,GN/,437,,GN,GN,BU,GN,GN,17,11,34,12961.24548,0,2611.972851,2611.972851,15573.21833,0,3160.209756,3160.209756,0,3248.122248,3248.122248,
29976,29976,acc,Capparaceae,Crataeva falcata (Lour.) DC.,?,102,,?,?,?,?,?,31,18,64,24974.61326,519.8605408,3666.306564,4186.167105,29160.78037,2495.441724,4532.427545,7027.86927,8431.723235,4589.814067,13021.5373,
30102,30102,acc,Pandanaceae,Freycinetia formosana Hemsl.,GN,401,,GN,GN,GN,GN,GN,4,3,7,2764.382689,0,512.6518246,512.6518246,3277.034513,0,555.0677753,555.0677753,0,607.8852621,607.8852621,
30113,30113,acc,Nartheciaceae,Aletris spicata,GN,428,,GN,GN,GN,GN,GN,90,44,204,41577.83829,41545.02544,5426.560112,46971.58555,88549.42384,98215.73897,8085.677794,106301.4168,131631.574,9614.348294,141245.9223,
30309,30309,acc,Piperaceae,Peperomia japonica Makino,GD,26,endemic,GD,GD,GD,GD,GD,25,18,49,17595.13972,2184.564114,2372.681914,4557.246028,22152.38575,8921.152681,3782.084514,12703.23719,33228.36189,4449.047595,37677.40948,
30310,30310,acc,Vitaceae,Tetrastigma formosanum (Hemsl.) Gagnep.,BK,207,,BK,BK,BK,BK,BK,15,8,20,7788.295092,0,1415.883167,1415.883167,9204.178259,0,2602.723703,2602.723703,0.769177333,3497.263758,3498.032936,
30311,30311,acc,Pandanaceae,Freycinetia tawadana Kimura,BK,402,endemic,BK,BK,BK,BK,BK,1,1,1,340.4960996,0,128.0819206,128.0819206,468.5780203,0,319.3422276,319.3422276,0,330.0325795,330.0325795,
30313,30313,acc,Pandanaceae,Pandanus boninensis Warb.,BK,403,endemic,BK,BK,BK,BK,BK,7,5,8,3601.427412,0,83.16971592,83.16971592,3684.597128,0,102.4891338,102.4891338,0,102.4891338,102.4891338,
30315,30315,acc,Pandanaceae,Pandanus tectorius,GN,404,,GN,GN,GN,GN,GN,30,17,72,29536.50443,0,3551.994112,3551.994112,33088.49855,0,3593.287597,3593.287597,0,3600.718927,3600.718927,
30318,30318,acc,Smilacaceae,Smilax biflora Siebold ex Miq.,BK,434,endemic,BK,BK,BK,BK,BK,3,2,3,737.0417353,0,604.1701934,604.1701934,1341.211929,0,1305.752486,1305.752486,0.769177333,1703.051827,1703.821005,
30388,30388,unp,Gramineae,Tripogon japonicus (Honda) Ohwi,?,853,,?,?,?,?,?,2,2,5,0,2066.782178,0,2066.782178,2066.782178,4953.930279,0,4953.930279,16714.44429,0.085456036,16714.52975,
30389,30389,acc,Smilacaceae,Smilax sieboldii Miq.,GN,860,,GN,GN,GN,GN,GN,78,38,191,5003.405191,74197.42699,83.13844967,74280.56544,79283.97063,158109.9135,850.7976283,158960.7111,234333.546,3230.549036,237564.0951,
30390,30390,acc,Araceae,Alocasia macrorrhizos (L.) G. Don,GN!,424,,GN,GN,GN,GN,GN,46,26,99,37715.33515,2087.205812,4952.102441,7039.308254,44754.6434,8042.220414,5167.241625,13209.46204,20054.69632,5190.512723,25245.20904,
30392,30392,k,Asteraceae,Cirsium brevicaule A. Gray var. iriomotense Kitam.,?,816,,?,?,?,?,?,7,4,14,5799.183557,0,745.7642641,745.7642641,6544.94782,0,811.410824,811.410824,0,811.410824,811.410824,infra
