"species","spnumber","star","pref"
"Vitis flexuosa Thunb.",3192,"GN","Yamagata"
"Houttuynia cordata Thunb.",10614,"GN","Yamagata"
"Lathyrus japonicus Willd.",11632,"GN","Yamagata"
"Ixeris repens (L.) A. Gray",4036,"GN","Yamagata"
"Actinidia arguta (Siebold et Zucc.) Planch. ex Miq. var. arguta",10709,"GN","Yamagata"
"Acalypha australis L.",5291,"GN","Yamagata"
"Sophora flavescens Sol.",11598,"GN","Yamagata"
"Leibnitzia anandria (L.) Turcz.",4392,"GN","Yamagata"
"Disporum smilacinum A. Gray",29829,"GN","Yamagata"
"Sanguisorba officinalis L.",11499,"GN","Yamagata"
"Metaplexis japonica (Thunb.) Makino",4699,"GN","Yamagata"
"Pourthiaea villosa (Thunb.) Decne. var. villosa",11300,"GN","Yamagata"
"Celtis sinensis Pers.",9767,"GN","Yamagata"
"Aralia cordata Thunb.",3227,"GN","Yamagata"
"Thalictrum minus L. var. hypoleucum (Siebold et Zucc.) Miq.",10543,"GN","Yamagata"
"Zelkova serrata (Thunb.) Makino",9762,"GN","Yamagata"
"Picrasma quassioides (D. Don) Benn.",5354,"GN","Yamagata"
"Cyrtomium falcatum (L. f.) C. Presl",3553,"GN","Yamagata"
"Euonymus fortunei (Turcz.) Hand.-Mazz. var. radicans Sieb. ex Miq.",662,"GN","Yamagata"
"Callicarpa japonica Thunb.",4907,"GN","Yamagata"
"Phryma leptostachya L. var. oblongifolia Koidz.",499,"GN","Yamagata"
"Zanthoxylum piperitum (L.) DC.",5338,"GN","Yamagata"
"Pteridium aquilinum (L.) Kuhn",3400,"GN","Yamagata"
"Elaeagnus umbellata Thunb.",3200,"GN","Yamagata"
"Artemisia japonica Thunb. subsp. japonica",165,"GN","Yamagata"
"Quercus serrata Murray",9727,"GN","Yamagata"
"Parthenocissus tricuspidata (Sieb. et Zucc.) Planch.",5488,"GN","Yamagata"
"Lotus corniculatus L. subsp. japonicus (Regel) H. Ohashi",11679,"GN","Yamagata"
"Artemisia stelleriana Besser",4218,"GN","Yamagata"
"Smilax china L.",29794,"GN","Yamagata"
"Pinus densiflora Sieb. et Zucc.",3986,"GN","Yamagata"
"Lysimachia japonica Thunb.",4553,"GN","Yamagata"
"Artemisia monophylla Kitam.",4223,"GD","Yamagata"
"Vitis coignetiae Pulliat ex Planch.",5484,"GN","Yamagata"
"Acer pictum Thunb. subsp. mono Maxim.",648,"GN","Yamagata"
"Eclipta prostrata (L.) L.",4096,"GN","Yamagata"
"Gnaphalium japonicum Thunb.",4271,"GN","Yamagata"
"Machilus thunbergii Siebold et Zucc. ex Meisn.",10300,"GN","Yamagata"
"Lysimachia mauritiana Lam.",4550,"GN","Yamagata"
"Pennisetum alopecuroides (L.) Spreng.",29565,"GN","Yamagata"
"Fallopia sachalinensis (F. Schmidt) Ronse Decr.",9953,"GN","Yamagata"
"Celastrus orbiculatus Thunb.",3188,"GN","Yamagata"
"Geranium nepalense Sweet",11856,"GN","Yamagata"
"Viburnum dilatatum Thunb. ex Murray",5219,"GN","Yamagata"
"Paederia foetida L.",4835,"GN","Yamagata"
"Hedera rhombea (Miq.) Bean",5740,"GN","Yamagata"
"Padus grayana (Maxim.) C.K.Schneid.",11327,"GN","Yamagata"
"Quercus aliena Blume",9731,"GN","Yamagata"
"Rhus ambigua Lavall{e'}e ex Dippel",5371,"GN","Yamagata"
"Rubus parvifolius L.",11435,"GN","Yamagata"
"Elaeagnus macrophylla Thunb.",5555,"GN","Akita"
"Mallotus japonicus (Thunb. ex L. f.) M{uu}ll. Arg.",5295,"GN","Akita"
"Quercus acutissima Carruth.",9721,"GN","Akita"
"Celtis sinensis Pers.",9767,"GN","Iwate"
"Dryopteris erythrosora (D. C. Eaton) Kuntze",3684,"GN","Iwate"
"Abies firma Sieb. et Zucc.",3968,"BU","Iwate"
"Paederia foetida L.",4835,"GN","Akita"
"Fauria crista-galli (Menz.) Makino subsp. japonica Fr.",395,"BU","Yamagata"
"Actinidia polygama (Siebold et Zucc.) Planch. ex Maxim.",10711,"GN","Yamagata"
"Elliottia paniculata (Sieb. et Zucc.) Benth. et Hook. f.",4411,"GN","Yamagata"
"Lysimachia clethroides Duby",29844,"GN","Yamagata"
"Leucothoe grayana Maxim.",4488,"BU","Yamagata"
"Clematis apiifolia DC.",10437,"GN","Yamagata"
"Paraixeris denticulata (Houtt.) Nakai",4052,"GN","Yamagata"
"Fraxinus sieboldiana Bl.",4625,"GN","Yamagata"
"Epigaea asiatica Maxim.",4418,"BU","Yamagata"
"Mallotus japonicus (Thunb. ex L. f.) M{uu}ll. Arg.",5295,"GN","Yamagata"
"Osmunda japonica Thunb.",3329,"GN","Yamagata"
"Staphylea bumalda DC.",5456,"GN","Yamagata"
"Quercus crispula Blume",9724,"GN","Yamagata"
"Chamaepericlymenum canadense (L.) Asch. et Graebn.",5737,"GN","Yamagata"
"Acer micranthum Sieb. et Zucc.",5384,"BU","Yamagata"
"Magnolia salicifolia (Siebold et Zucc.) Maxim.",10250,"BU","Yamagata"
"Viburnum furcatum Bl. ex Maxim.",5214,"GN","Yamagata"
"Gaultheria adenothrix (Miq.) Maxim.",4496,"GN","Yamagata"
"Clethra barbinervis Sieb. & Zucc.",29824,"GN","Yamagata"
"Rhododendron albrechtii Maxim.",4466,"GN","Yamagata"
"Acer japonicum Thunb.",5389,"BU","Yamagata"
"Rhus trichocarpa Miq.",5373,"GN","Yamagata"
"Geum pentapetalum (L.) Makino",11570,"GN","Yamagata"
"Hieracium japonicum Franch. et Sav.",4056,"BU","Yamagata"
"Magnolia kobus DC.",10251,"GN","Yamagata"
"Rhynchospermum verticillatum Reinw.",4164,"GN","Yamagata"
"Rhynchospermum verticillatum Reinw.",4164,"GN","Akita"
"Fagus crenata Blume",9718,"BU","Yamagata"
"Coptis trifolia (L.) Salisb.",10494,"GN","Yamagata"
"Stachyurus praecox Sieb. et Zucc.",3210,"GN","Yamagata"
"Oplopanax japonicus (Nakai) Nakai",5752,"BU","Yamagata"
"Acer tschonoskii Maxim.",3180,"BU","Yamagata"
"Rhododendron obtusum (Lindl.) Planch. var. kaempferi Planch.",290,"BU","Yamagata"
"Parnassia palustris L.",11056,"GN","Yamagata"
"Betula ermanii Cham. var. ermanii",9692,"GN","Yamagata"
"Hydrangea paniculata Siebold",11209,"GN","Yamagata"
"Styrax japonicus Sieb. et Zucc.",4592,"GN","Yamagata"
"Ilex rugosa F. Schmidt",5424,"GN","Yamagata"
"Sorbus commixta Hedl.",11291,"?","Yamagata"
"Senecio cannabifolius Less.",4119,"GN","Yamagata"
"Mitchella undulata Sieb. et Zucc.",4830,"GN","Yamagata"
"Zanthoxylum ailanthoides Sieb. et Zucc.",3177,"GN","Yamagata"
"Daphniphyllum macropodum Miq. var. humile Maxim. ex Franch. et Sav.",625,"BU","Yamagata"
"Schisandra repanda (Siebold et Zucc.) Radlk.",10257,"GN","Yamagata"
"Primula nipponica Yatabe",4575,"BK","Yamagata"
"Aria alnifolia (Siebold et Zucc.) Decne.",11297,"GN","Yamagata"
"Pinus pumila (Pall.) Regel",3983,"GN","Yamagata"
"Chloranthus serratus (Thunb.) Roem. et Schult.",10621,"GN","Yamagata"
"Macleaya cordata (Willd.) R. Br.",10805,"GN","Yamagata"
"Polystichum tripteron (Kunze) C. Presl",3556,"GN","Yamagata"
"Ainsliaea apiculata Sch.-Bip.",3160,"GN","Yamagata"
"Gentiana nipponica Maxim.",4672,"BU","Yamagata"
"Rubus vernus Focke",11424,"GD","Yamagata"
"Adenocaulon himalaicum Edgew.",4072,"GN","Yamagata"
"Tripterospermum japonicum (Sieb. et Zucc.) Maxim.",4682,"GN","Yamagata"
"Ilex leucoclada (Maxim.) Makino",5418,"BU","Yamagata"
"Blechnum niponicum (Kunze) Makino",3531,"GN","Yamagata"
"Styrax obassia Sieb. et Zucc.",4593,"GN","Yamagata"
"Acer rufinerve Sieb. et Zucc.",5379,"BU","Yamagata"
"Torreya nucifera (L.) Sieb. et Zucc.",4003,"GN","Yamagata"
"Torreya nucifera (L.) Sieb. et Zucc.",4003,"GN","Akita"
"Sorbus matsumurana (Makino) Koehne",11294,"BU","Yamagata"
"Lonicera japonica Thunb. ex Murray",5231,"GN","Yamagata"
"Swida controversa (Hemsl. ex Prain) Soj{a'}rk",5732,"GN","Yamagata"
"Ilex sugerokii Maxim. var. brevipedunculata Maxim.",657,"GN","Yamagata"
"Plagiogyria matsumureana Makino",3337,"GN","Yamagata"
"Rodgersia podophylla A. Gray",11066,"GN","Yamagata"
"Trientalis europaea L.",4559,"GN","Yamagata"
"Eleutherococcus sciadophylloides (Franch. et Sav.) H. Ohashi",5746,"GN","Yamagata"
"Vaccinium praestans Lamb.",4515,"GN","Yamagata"
"Cladothamnus bracteatus (Maxim.) Yamazaki",4410,"BU","Yamagata"
"Meliosma myriantha Sieb. et Zucc.",5406,"GN","Yamagata"
"Lysichiton camtschatcensis (L.) Schott",24629,"GN","Yamagata"
"Salix udensis Trautv. et C. A. Mey.",9622,"GN","Yamagata"
"Diphylleia grayi F. Schmidt",10577,"GN","Yamagata"
"Alnus viridis (Chaix) Lam. et DC. subsp. maximowiczii (Callier ex C.K.Schneid.) H. Ohba",9663,"GN","Yamagata"
"Ilex macropoda Miq.",5429,"GN","Yamagata"
"Populus suaveolens Fisch.",9587,"GN","Yamagata"
"Cassiope lycopodioides (Pall.) D. Don",4493,"GN","Yamagata"
"Phyllodoce aleutica (Spreng.) A. Heller",4415,"GN","Yamagata"
"Impatiens noli-tangere L.",5409,"GN","Yamagata"
"Shortia uniflora (Maxim.) Maxim.",4407,"GD","Yamagata"
"Thuja standishii (Gordon) Carri{e`}re",3991,"BU","Yamagata"
"Saxifraga fortunei Hook. f. var. alpina (Matsum. et Nakai) Nakai",11092,"GN","Yamagata"
"Filipendula camtschatica (Pall.) Maxim.",11513,"GN","Yamagata"
"Empetrum nigrum L. var. japonicum",340,"GN","Yamagata"
"Penstemon frutescens Lamb.",5033,"GN","Yamagata"
"Diapensia lapponica L. var. obovata",273,"GN","Yamagata"
"Aesculus turbinata Blume",5402,"GN","Yamagata"
"Laportea bulbifera (Siebold et Zucc.) Wedd.",9810,"GN","Yamagata"
"Spiraea betulifolia Pall.",11277,"?","Yamagata"
"Gaultheria miqueliana Takeda",4495,"GN","Yamagata"
"Drosera rotundifolia L.",10961,"GN","Yamagata"
"Mimulus sessilifolius Maxim.",5051,"GN","Yamagata"
"Parasenecio hastata (L.) H. Koyama subsp. orientalis Kitam.",126,"GN","Yamagata"
"Anaphalis margaritacea (L.) Benth. et Hook. f.",4280,"GN","Yamagata"
"Pterocarya rhoifolia Siebold et Zucc.",9576,"GN","Yamagata"
"Centipeda minima (L.) A. Br. et Asch.",4204,"GN","Yamagata"
"Trautvetteria palmata Fisch. et C. A. Mey. var. palmate",10450,"GN","Yamagata"
"Arenaria merckioides Maxim.",10081,"BK","Yamagata"
"Arenaria merckioides Maxim.",10081,"BK","Akita"
"Ulmus laciniata (Trautv.) Mayr",9761,"GN","Yamagata"
"Vaccinium vitis-idaea L.",4505,"GN","Yamagata"
"Inula ciliaris (Miq.) Maxim.",4262,"BU","Yamagata"
"Rubus pectinellus Maxim.",11404,"GN","Yamagata"
"Cirsium chokaiense Kitam.",4317,"BK","Yamagata"
"Cirsium chokaiense Kitam.",4317,"BK","Akita"
"Arcterica nana (Maxim.) Makino",4494,"GN","Yamagata"
"Oenanthe javanica (Blume) DC.",3235,"GN","Yamagata"
"Ulmus davidiana Planch. var. japonica (RENDER) Nakai",9760,"GN","Yamagata"
"Chelidonium majus L. subsp. asiaticum H. Hara",10801,"GN","Yamagata"
"Deutzia crenata Siebold et Zucc. var. crenata",11185,"GN","Yamagata"
"Patrinia scabiosifolia Fisch. ex Trevir.",5256,"GN","Yamagata"
"Fallopia japonica (Houtt.) Ronse Decr. var. japonica",9949,"GN","Yamagata"
"Adiantum pedatum L.",3447,"GN","Yamagata"
"Impatiens textorii Miq.",5408,"GN","Yamagata"
"Aster glehni F. Schmidt var. hondoensis",151,"BU","Yamagata"
"Salix integra Thunb.",9613,"GN","Yamagata"
"Silene miqueliana (Rohrb.) H.Ohashi et H.Nakai",10151,"BU","Akita"
"Philadelphus satsumi Siebold ex Lindl. et Paxton",11178,"BU","Akita"
"Arctous alpinus (L.) Nied. var. japonicus Nakai",330,"GN","Akita"
"Schisandra repanda (Siebold et Zucc.) Radlk.",10257,"GN","Miyagi"
"Cnidium japonicum Miq.",5782,"GN","Miyagi"
"Juglans mandshurica Maxim. var. sachalinensis (Miyabe et Kud{o^}) Kitam.",9579,"GN","Miyagi"
"Rosa rugosa Thunb.",11476,"GN","Miyagi"
"Celastrus orbiculatus Thunb.",3188,"GN","Miyagi"
"Lysimachia mauritiana Lam.",4550,"GN","Miyagi"
"Ampelopsis glandulosa (Wall.) Momiy. var. hancei",682,"GN","Miyagi"
"Carpinus tschonoskii Maxim.",9712,"GN","Miyagi"
"Juniperus rigida Sieb. et Zucc.",3997,"GN","Miyagi"
"Laportea bulbifera (Siebold et Zucc.) Wedd.",9810,"GN","Miyagi"
"Ainsliaea apiculata Sch.-Bip.",3160,"GN","Miyagi"
"Pennisetum alopecuroides (L.) Spreng.",29565,"GN","Miyagi"
"Euonymus fortunei (Turcz.) Hand.-Mazz. var. radicans Sieb. ex Miq.",662,"GN","Miyagi"
"Aria japonica Decne.",11298,"BU","Miyagi"
"Zelkova serrata (Thunb.) Makino",9762,"GN","Miyagi"
"Impatiens textorii Miq.",5408,"GN","Miyagi"
"Calystegia soldanella (L.) Roem. et Schult.",4764,"GN","Miyagi"
"Blechnum niponicum (Kunze) Makino",3531,"GN","Miyagi"
"Salix integra Thunb.",9613,"GN","Miyagi"
"Leymus mollis (Trin.) Pilger",29526,"GN","Miyagi"
"Glehnia littoralis F. Schmidt",5783,"GN","Miyagi"
"Eleutherococcus innovans (Sieb. et Zucc.) H. Ohba",5745,"GN","Miyagi"
"Quercus dentata Thunb.",9723,"GN","Miyagi"
"Polygala japonica Houtt.",5362,"GN","Miyagi"
"Stephanandra incisa (Thunb.) Siebold et Zucc. ex Zabel var. incisa",11254,"GN","Miyagi"
"Persicaria thunbergii (Siebold et Zucc.) H.Gross var. thunbergii",9976,"GN","Miyagi"
"Acer pictum Thunb. subsp. mono Maxim.",648,"GN","Miyagi"
"Miricacalia palmata (Thunb.) Maxim.",4132,"GN","Miyagi"
"Pinus densiflora Sieb. et Zucc.",3986,"GN","Miyagi"
"Vitis flexuosa Thunb.",3192,"GN","Miyagi"
"Agrimonia pilosa Ledeb.",11492,"GN","Miyagi"
"Saxifraga fortunei Hook. f. var. alpina (Matsum. et Nakai) Nakai",11092,"GN","Miyagi"
"Ajuga decumbens Thunb.",4925,"GN","Miyagi"
"Pittosporum tobira (Thunb.) W.T.Aiton",11238,"GN","Miyagi"
"Pittosporum tobira (Thunb.) W.T.Aiton",11238,"GN","Iwate"
"Hovenia dulcis Thunb.",5472,"GN","Miyagi"
"Rubus microphyllus L.f.",11420,"GN","Miyagi"
"Smilax sieboldii Miq.",30389,"GN","Miyagi"
"Lespedeza buergeri Miq.",11745,"GN","Miyagi"
"Akebia trifoliata (Thunb.) Koidz.",10580,"GN","Miyagi"
"Rosa multiflora Thunb. var. multiflora",11464,"GN","Miyagi"
"Patrinia scabiosifolia Fisch. ex Trevir.",5256,"GN","Miyagi"
"Cephalotaxus harringtonia (Knight ex Forbes) K. Koch",4002,"GN","Miyagi"
"Cephalotaxus harringtonia (Knight ex Forbes) K. Koch",4002,"GN","Iwate"
"Meliosma myriantha Sieb. et Zucc.",5406,"GN","Miyagi"
"Rumex japonicus Houtt.",9910,"GN","Miyagi"
"Celtis sinensis Pers.",9767,"GN","Miyagi"
"Styrax japonicus Sieb. et Zucc.",4592,"GN","Miyagi"
"Acer japonicum Thunb.",5389,"BU","Miyagi"
"Chloranthus japonicus Siebold",10620,"GN","Miyagi"
"Quercus serrata Murray",9727,"GN","Miyagi"
"Mimulus nepalensis Benth.",5050,"GN","Miyagi"
"Boninia albiflora (Hook.) Meisn. var. japonica Nakai ex Makino et Nemoto",626,"GN","Miyagi"
"Boninia albiflora (Hook.) Meisn. var. japonica Nakai ex Makino et Nemoto",626,"GN","Iwate"
"Elliottia paniculata (Sieb. et Zucc.) Benth. et Hook. f.",4411,"GN","Miyagi"
"Hedera rhombea (Miq.) Bean",5740,"GN","Miyagi"
"Ostrya japonica Sarg.",9710,"GN","Miyagi"
"Callicarpa japonica Thunb.",4907,"GN","Miyagi"
"Lysimachia clethroides Duby",29844,"GN","Miyagi"
"Chloranthus serratus (Thunb.) Roem. et Schult.",10621,"GN","Miyagi"
"Lysimachia japonica Thunb.",4553,"GN","Miyagi"
"Cocculus trilobus (Thunb.) DC.",10592,"GN","Miyagi"
"Plantago asiatica L.",5144,"GN","Miyagi"
"Senecio cannabifolius Less.",4119,"GN","Miyagi"
"Pourthiaea villosa (Thunb.) Decne. var. villosa",11300,"GN","Miyagi"
"Parasenecio delphiniifolia (Sieb. et Zucc.) H. Koyama",4138,"GN","Miyagi"
"Anaphalis margaritacea (L.) Benth. et Hook. f.",4280,"GN","Miyagi"
"Indigofera pseudotinctoria Matsum.",11687,"GN","Miyagi"
"Rubia argyi (L{e'}v. et Van.) Hara ex Lauener",4839,"GN","Miyagi"
"Alnus japonica (Thunb.) Steud.",9676,"GN","Miyagi"
"Viburnum dilatatum Thunb. ex Murray",5219,"GN","Miyagi"
"Silene miqueliana (Rohrb.) H.Ohashi et H.Nakai",10151,"BU","Miyagi"
"Cyrtomium falcatum (L. f.) C. Presl",3553,"GN","Miyagi"
"Ixeris repens (L.) A. Gray",4036,"GN","Miyagi"
"Picrasma quassioides (D. Don) Benn.",5354,"GN","Miyagi"
"Oenanthe javanica (Blume) DC.",3235,"GN","Miyagi"
"Youngia japonica (L.) DC.",4062,"GN","Miyagi"
"Filipendula camtschatica (Pall.) Maxim.",11513,"GN","Miyagi"
"Paraixeris denticulata (Houtt.) Nakai",4052,"GN","Miyagi"
"Xanthium strumarium L.",4077,"GN","Miyagi"
"Swertia bimaculata (Sieb. et Zucc.) Hook. f. et Thoms. ex C. B. Clarke",4654,"GN","Miyagi"
"Eurya japonica Thunb.",10738,"GN","Miyagi"
"Callicarpa japonica Thunb. var. luxurians",458,"BU","Miyagi"
"Shortia uniflora (Maxim.) Maxim.",4407,"GD","Miyagi"
"Kerria japonica (L.) DC.",11510,"GN","Miyagi"
"Fagus crenata Blume",9718,"BU","Miyagi"
"Lathyrus japonicus Willd.",11632,"GN","Miyagi"
"Camellia japonica L.",10714,"GN","Miyagi"
"Pteridium aquilinum (L.) Kuhn",3400,"GN","Miyagi"
"Lonicera japonica Thunb. ex Murray",5231,"GN","Miyagi"
"Morus australis Poir. in Lam.",9799,"GN","Miyagi"
"Salsola komarovii Iljin",10216,"GN","Miyagi"
"Euonymus alatus (Thunb.) Sieb.",3186,"GN","Miyagi"
"Rhododendron semibarbatum Maxim.",4432,"GN","Miyagi"
"Rhododendron obtusum (Lindl.) Planch. var. kaempferi Planch.",290,"BU","Miyagi"
"Acer carpinifolium Sieb. et Zucc.",5397,"BU","Miyagi"
"Acer carpinifolium Sieb. et Zucc.",5397,"BU","Iwate"
"Dendranthema arcticum (L.) Tzvelev subsp. maekawanum Kitam.",177,"BU","Miyagi"
"Hylodesmum podocarpum (DC.) H.Ohashi et R.R.Mill var. oxyphyllum (DC.) H.Ohashi et R.R.Mill",11743,"GN","Miyagi"
"Cimicifuga simplex (DC.) Turcz",10328,"GN","Miyagi"
"Rubus phoenicolasius Maxim.",11434,"GN","Miyagi"
"Nipponanthemum nipponicum (Franch. ex Maxim.) Kitam.",4253,"GD","Miyagi"
"Osmunda japonica Thunb.",3329,"GN","Miyagi"
"Buckleya lanceolata (Siebold et Zucc.) Miq.",9889,"GN","Miyagi"
"Hieracium umbellatum L. var. japonicum",4057,"GN","Miyagi"
"Haloragis micrantha (Thunb.) R. Br. ex Sieb. et Zucc.",5723,"GN","Miyagi"
"Deutzia crenata Siebold et Zucc. var. crenata",11185,"GN","Miyagi"
"Hylotelephium verticillatum (L.) H. Ohba var. verticillatum",10987,"GN","Miyagi"
"Centipeda minima (L.) A. Br. et Asch.",4204,"GN","Miyagi"
"Pterocarya rhoifolia Siebold et Zucc.",9576,"GN","Miyagi"
"Staphylea bumalda DC.",5456,"GN","Miyagi"
"Castanea crenata Siebold et Zucc.",9752,"GN","Miyagi"
"Leibnitzia anandria (L.) Turcz.",4392,"GN","Miyagi"
"Ardisia japonica (Thunb.) Bl.",4535,"GN","Miyagi"
"Vitis ficifolia Bunge var. lobata Regel",675,"GN","Miyagi"
"Paederia foetida L.",4835,"GN","Miyagi"
"Adenocaulon himalaicum Edgew.",4072,"GN","Miyagi"
"Chelidonium majus L. subsp. asiaticum H. Hara",10801,"GN","Miyagi"
"Styrax obassia Sieb. et Zucc.",4593,"GN","Miyagi"
"Quercus crispula Blume",9724,"GN","Miyagi"
"Prunella vulgaris L. subsp. asiatica (Nakai) Hara",473,"GN","Miyagi"
"Imperata cylindrica (L.) Raeusch.",29511,"GN","Miyagi"
"Patrinia villosa (Thunb.) Juss.",5257,"GN","Miyagi"
"Polystichum tripteron (Kunze) C. Presl",3556,"GN","Miyagi"
"Eleutherococcus sciadophylloides (Franch. et Sav.) H. Ohashi",5746,"GN","Miyagi"
"Eclipta prostrata (L.) L.",4096,"GN","Iwate"
"Panax pseudoginseng Wall. var. japonicus",752,"GN","Yamagata"
"Youngia japonica (L.) DC.",4062,"GN","Yamagata"
"Rhamnus crenata Sieb. et Zucc.",5471,"GN","Yamagata"
"Swertia bimaculata (Sieb. et Zucc.) Hook. f. et Thoms. ex C. B. Clarke",4654,"GN","Yamagata"
"Plantago asiatica L.",5144,"GN","Yamagata"
"Hovenia dulcis Thunb.",5472,"GN","Yamagata"
"Cynanchum caudatum (Miq.) Maxim.",4720,"GN","Yamagata"
"Lobelia chinensis Lour.",5208,"GN","Yamagata"
"Chloranthus japonicus Siebold",10620,"GN","Yamagata"
"Mimulus nepalensis Benth.",5050,"GN","Yamagata"
"Hydrangea petiolaris Siebold et Zucc.",11203,"GN","Yamagata"
"Phellodendron amurense Rupr.",3178,"GN","Yamagata"
"Lysimachia vulgaris L. var. davurica Ledeb.",4552,"GN","Yamagata"
"Aralia cordata Thunb.",3227,"GN","Miyagi"
"Ilex rugosa F. Schmidt",5424,"GN","Miyagi"
"Cladothamnus bracteatus (Maxim.) Yamazaki",4410,"BU","Miyagi"
"Rodgersia podophylla A. Gray",11066,"GN","Miyagi"
"Geum calthifolium Sm. var. nipponicum (F.Bolle) Ohwi",11572,"GN","Yamagata"
"Geum calthifolium Sm. var. nipponicum (F.Bolle) Ohwi",11572,"GN","Miyagi"
"Epigaea asiatica Maxim.",4418,"BU","Miyagi"
"Primula nipponica Yatabe",4575,"BK","Miyagi"
"Fraxinus sieboldiana Bl.",4625,"GN","Miyagi"
"Coptis trifolia (L.) Salisb.",10494,"GN","Miyagi"
"Chamaepericlymenum canadense (L.) Asch. et Graebn.",5737,"GN","Miyagi"
"Geum pentapetalum (L.) Makino",11570,"GN","Miyagi"
"Vitis coignetiae Pulliat ex Planch.",5484,"GN","Miyagi"
"Stachyurus praecox Sieb. et Zucc.",3210,"GN","Miyagi"
"Ilex macropoda Miq.",5429,"GN","Miyagi"
"Aster glehni F. Schmidt var. hondoensis",151,"BU","Miyagi"
"Aralia elata (Miq.) Seem.",5738,"GN","Miyagi"
"Asarum heterotropoides F. Schmidt",10637,"GN","Yamagata"
"Asarum heterotropoides F. Schmidt",10637,"GN","Miyagi"
"Acer rufinerve Sieb. et Zucc.",5379,"BU","Miyagi"
"Acer distylum Sieb. et Zucc.",5385,"BU","Yamagata"
"Acer distylum Sieb. et Zucc.",5385,"BU","Miyagi"
"Fallopia sachalinensis (F. Schmidt) Ronse Decr.",9953,"GN","Miyagi"
"Sorbus commixta Hedl.",11291,"?","Miyagi"
"Lysichiton camtschatcensis (L.) Schott",24629,"GN","Miyagi"
"Clethra barbinervis Sieb. & Zucc.",29824,"GN","Miyagi"
"Diphylleia grayi F. Schmidt",10577,"GN","Miyagi"
"Aria alnifolia (Siebold et Zucc.) Decne.",11297,"GN","Miyagi"
"Thuja standishii (Gordon) Carri{e`}re",3991,"BU","Miyagi"
"Salix udensis Trautv. et C. A. Mey.",9622,"GN","Miyagi"
"Impatiens noli-tangere L.",5409,"GN","Miyagi"
"Tripterospermum japonicum (Sieb. et Zucc.) Maxim.",4682,"GN","Miyagi"
"Spiraea betulifolia Pall.",11277,"?","Miyagi"
"Trientalis europaea L.",4559,"GN","Miyagi"
"Trautvetteria palmata Fisch. et C. A. Mey. var. palmate",10450,"GN","Miyagi"
"Hydrangea paniculata Siebold",11209,"GN","Miyagi"
"Eupatorium glehni F. Schmidt ex Trautv.",4284,"GN","Yamagata"
"Eupatorium glehni F. Schmidt ex Trautv.",4284,"GN","Miyagi"
"Hydrangea petiolaris Siebold et Zucc.",11203,"GN","Miyagi"
"Ilex sugerokii Maxim. var. brevipedunculata Maxim.",657,"GN","Miyagi"
"Padus ssiori (F. Schmidt) C.K.Schneid.",11328,"GN","Yamagata"
"Padus ssiori (F. Schmidt) C.K.Schneid.",11328,"GN","Miyagi"
"Pueraria lobata (Willd.) Ohwi",11792,"GN","Miyagi"
"Rhododendron albrechtii Maxim.",4466,"GN","Miyagi"
"Ilex leucoclada (Maxim.) Makino",5418,"BU","Miyagi"
"Magnolia hypoleuca Siebold et Zucc.",10247,"GN","Miyagi"
"Drosera rotundifolia L.",10961,"GN","Miyagi"
"Rhus ambigua Lavall{e'}e ex Dippel",5371,"GN","Miyagi"
"Clintonia udensis Trautv. & C.A.Mey.",25816,"GN","Yamagata"
"Clintonia udensis Trautv. & C.A.Mey.",25816,"GN","Miyagi"
"Vaccinium japonicum Miq.",4498,"GN","Yamagata"
"Vaccinium japonicum Miq.",4498,"GN","Miyagi"
"Padus grayana (Maxim.) C.K.Schneid.",11327,"GN","Miyagi"
"Acer ukurunduense Trautv. et C. A. Mey.",5387,"GN","Yamagata"
"Acer ukurunduense Trautv. et C. A. Mey.",5387,"GN","Miyagi"
"Actinidia arguta (Siebold et Zucc.) Planch. ex Miq. var. arguta",10709,"GN","Miyagi"
"Swida controversa (Hemsl. ex Prain) Soj{a'}rk",5732,"GN","Miyagi"
"Leucothoe grayana Maxim.",4488,"BU","Miyagi"
"Schizophragma hydrangeoides Siebold et Zucc.",11199,"GN","Yamagata"
"Schizophragma hydrangeoides Siebold et Zucc.",11199,"GN","Miyagi"
"Aesculus turbinata Blume",5402,"GN","Miyagi"
"Viburnum furcatum Bl. ex Maxim.",5214,"GN","Miyagi"
"Mitchella undulata Sieb. et Zucc.",4830,"GN","Miyagi"
"Plagiogyria matsumureana Makino",3337,"GN","Miyagi"
"Daphniphyllum macropodum Miq. var. humile Maxim. ex Franch. et Sav.",625,"BU","Miyagi"
"Fauria crista-galli (Menz.) Makino subsp. japonica Fr.",395,"BU","Miyagi"
"Rhus trichocarpa Miq.",5373,"GN","Miyagi"
"Betula ermanii Cham. var. ermanii",9692,"GN","Miyagi"
"Fallopia japonica (Houtt.) Ronse Decr. var. japonica",9949,"GN","Miyagi"
"Vaccinium vitis-idaea L.",4505,"GN","Miyagi"
"Geranium nepalense Sweet",11856,"GN","Miyagi"
"Phellodendron amurense Rupr.",3178,"GN","Miyagi"
"Aruncus dioicus (Walter) Fernaid var. kamtschaticus (Maxim.) H. Hara",11247,"GN","Yamagata"
"Aruncus dioicus (Walter) Fernaid var. kamtschaticus (Maxim.) H. Hara",11247,"GN","Miyagi"
"Acer tschonoskii Maxim.",3180,"BU","Miyagi"
