scode,sampname,lat,ns,long,ew,rectotal,spcount,GHI,BK,GD,BU,GN,horim_end,sum_WE,CWE,ocean,mainisl,smallisl,totalland,totalarea
590,horim590,36.75,n,138.375,e,190,190,59,0,3,28,156,40,0.896439,0.0047181,0,412.8287008,0,412.8287008,412.8287008
591,horim591,36.75,n,138.625,e,114,114,90,0,3,25,85,36,0.69262,0.006075614,0,412.8287008,0,412.8287008,412.8287008
592,horim592,36.75,n,138.875,e,205,205,76,1,4,30,166,45,1.093397,0.005333644,0,412.8287008,0,412.8287008,412.8287008
593,horim593,36.75,n,139.125,e,128,128,61,0,1,23,102,30,0.398713,0.003114945,0,412.8287008,0,412.8287008,412.8287008
594,horim594,36.75,n,139.375,e,202,202,84,0,6,37,153,54,1.166334,0.005773931,0,412.8287008,0,412.8287008,412.8287008
595,horim595,36.75,n,139.625,e,244,244,72,0,6,40,195,56,1.036899,0.004249586,0,412.8287008,0,412.8287008,412.8287008
596,horim596,36.75,n,139.875,e,182,182,45,0,2,21,156,28,0.659303,0.003622544,0,412.8287008,0,412.8287008,412.8287008
597,horim597,36.75,n,140.125,e,117,117,28,0,1,8,107,12,0.259121,0.002214709,0,412.8287008,0,412.8287008,412.8287008
598,horim598,36.75,n,140.375,e,170,170,48,0,2,21,144,31,0.639168,0.003759812,0,412.8287008,0,412.8287008,412.8287008
599,horim599,36.75,n,140.625,e,199,199,33,0,2,16,179,20,0.53682,0.002697588,20.76416864,392.0645322,0,392.0645322,412.8287008
600,horim600,36.75,n,140.875,e,75,75,32,0,2,2,70,6,0.186003,0.00248004,401.0629356,11.76318631,0.002578837,11.76576514,412.8287008
601,horim601,36.583333,n,136.375,e,0,0,0,0,0,0,0,0,0,0,413.6771981,0.031060672,0,0.031060672,413.7082588
602,horim602,36.583333,n,136.625,e,160,160,32,0,0,17,141,20,0.363819,0.002273869,124.7253414,288.9829173,0,288.9829173,413.7082588
603,horim603,36.583333,n,136.875,e,33,33,28,0,0,3,29,3,0.065775,0.001993182,0,413.7082588,0,413.7082588,413.7082588
604,horim604,36.583333,n,137.125,e,120,120,27,0,1,8,109,13,0.243895,0.002032458,0,413.7082588,0,413.7082588,413.7082588
